price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
750,3.0,1.0,True,False,60.0,flat,Horta- Guinardo
770,2.0,1.0,True,False,59.0,flat,Sant Andreu
1300,1.0,1.0,True,True,30.0,flat,Gràcia
2800,1.0,1.0,True,True,70.0,flat,Ciutat Vella
720,2.0,1.0,True,False,44.0,flat,Sant Andreu
1100,3.0,2.0,False,False,118.0,attic,Horta- Guinardo
1350,3.0,3.0,True,False,84.0,flat,Sarria-Sant Gervasi
900,2.0,1.0,True,False,60.0,flat,Sarria-Sant Gervasi
1165,4.0,2.0,True,False,106.0,flat,Horta- Guinardo
1050,2.0,1.0,True,False,70.0,flat,Les Corts
2500,4.0,2.0,True,False,161.0,flat,Sarria-Sant Gervasi
1335,2.0,1.0,True,False,55.0,flat,Sant Martí
2200,4.0,2.0,True,True,175.0,flat,Eixample
2500,3.0,2.0,True,True,145.0,flat,Sarria-Sant Gervasi
980,2.0,2.0,True,False,82.0,flat,Eixample
1050,2.0,1.0,True,False,66.0,flat,Eixample
1500,4.0,3.0,True,False,129.0,flat,Horta- Guinardo
1350,3.0,2.0,True,False,95.0,flat,Eixample
1080,3.0,2.0,True,False,92.0,flat,Gràcia
2500,3.0,2.0,True,False,130.0,flat,Les Corts
950,3.0,1.0,True,False,76.0,attic,Horta- Guinardo
850,3.0,2.0,True,False,80.0,flat,Sants-Montjuïc
1800,3.0,2.0,False,False,102.0,flat,Eixample
2300,2.0,2.0,True,False,150.0,flat,Eixample
950,4.0,1.0,True,False,90.0,flat,Sants-Montjuïc
842,3.0,1.0,True,False,68.0,flat,Horta- Guinardo
1350,3.0,3.0,True,False,84.0,flat,Sarria-Sant Gervasi
900,2.0,1.0,True,False,60.0,flat,Sarria-Sant Gervasi
1165,4.0,2.0,True,False,106.0,flat,Horta- Guinardo
1050,2.0,1.0,True,False,70.0,flat,Les Corts
2500,4.0,2.0,True,False,161.0,flat,Sarria-Sant Gervasi
1335,2.0,1.0,True,False,55.0,flat,Sant Martí
900,1.0,1.0,True,False,45.0,flat,Eixample
1180,3.0,1.0,True,True,79.0,flat,Eixample
900,3.0,1.0,True,False,65.0,flat,Les Corts
1200,4.0,2.0,True,False,116.0,flat,Sarria-Sant Gervasi
750,1.0,1.0,False,False,45.0,flat,Eixample
1400,3.0,2.0,True,False,93.0,flat,Sarria-Sant Gervasi
852,4.0,1.0,True,False,75.0,flat,Sants-Montjuïc
1250,4.0,2.0,True,True,98.0,flat,Eixample
750,2.0,1.0,False,False,60.0,flat,Gràcia
1000,1.0,1.0,True,False,60.0,flat,Sarria-Sant Gervasi
1250,4.0,2.0,True,False,121.0,flat,Eixample
900,2.0,1.0,True,False,78.0,flat,Sant Martí
1600,3.0,2.0,True,True,78.0,attic,Gràcia
1450,4.0,2.0,True,False,177.0,flat,Sant Martí
900,2.0,1.0,True,False,55.0,flat,Sant Andreu
1350,3.0,2.0,True,False,76.0,flat,Sant Martí
1246,1.0,1.0,True,False,51.0,flat,Eixample
850,1.0,1.0,False,False,45.0,flat,Ciutat Vella
750,3.0,1.0,True,False,42.0,flat,Gràcia
1580,3.0,2.0,True,True,110.0,flat,Ciutat Vella
1950,4.0,2.0,True,True,158.0,flat,Eixample
1350,1.0,1.0,True,True,60.0,attic,Ciutat Vella
1060,4.0,2.0,True,False,90.0,flat,Sant Andreu
1350,3.0,2.0,True,False,104.0,flat,Sarria-Sant Gervasi
900,4.0,1.0,True,False,80.0,flat,Eixample
2700,4.0,2.0,True,False,85.0,flat,Sarria-Sant Gervasi
1600,2.0,2.0,True,False,100.0,flat,Eixample
625,2.0,1.0,True,False,41.0,flat,Horta- Guinardo
2550,2.0,2.0,True,False,137.0,flat,Ciutat Vella
925,4.0,2.0,True,True,101.0,flat,Sant Martí
2200,2.0,2.0,True,True,79.0,attic,Sant Martí
2700,3.0,2.0,True,False,85.0,flat,Sarria-Sant Gervasi
1290,2.0,1.0,True,False,70.0,flat,Les Corts
3000,3.0,2.0,False,False,150.0,apartment,Eixample
780,2.0,1.0,False,False,62.0,flat,Horta- Guinardo
