price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood_Eixample,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
750,3,1,True,False,60,flat,0,0,1,0,0,0,0,0,0
770,2,1,True,False,59,flat,0,0,0,0,0,1,0,0,0
1300,1,1,True,True,30,flat,0,1,0,0,0,0,0,0,0
2800,1,1,True,True,70,flat,0,0,0,0,0,0,0,0,0
720,2,1,True,False,44,flat,0,0,0,0,0,1,0,0,0
1100,3,2,False,False,118,attic,0,0,1,0,0,0,0,0,0
1350,3,3,True,False,84,flat,0,0,0,0,0,0,0,0,1
900,2,1,True,False,60,flat,0,0,0,0,0,0,0,0,1
1165,4,2,True,False,106,flat,0,0,1,0,0,0,0,0,0
1050,2,1,True,False,70,flat,0,0,0,1,0,0,0,0,0
2500,4,2,True,False,161,flat,0,0,0,0,0,0,0,0,1
1335,2,1,True,False,55,flat,0,0,0,0,0,0,1,0,0
2200,4,2,True,True,175,flat,1,0,0,0,0,0,0,0,0
2500,3,2,True,True,145,flat,0,0,0,0,0,0,0,0,1
980,2,2,True,False,82,flat,1,0,0,0,0,0,0,0,0
1050,2,1,True,False,66,flat,1,0,0,0,0,0,0,0,0
1500,4,3,True,False,129,flat,0,0,1,0,0,0,0,0,0
1350,3,2,True,False,95,flat,1,0,0,0,0,0,0,0,0
1080,3,2,True,False,92,flat,0,1,0,0,0,0,0,0,0
2500,3,2,True,False,130,flat,0,0,0,1,0,0,0,0,0
950,3,1,True,False,76,attic,0,0,1,0,0,0,0,0,0
850,3,2,True,False,80,flat,0,0,0,0,0,0,0,1,0
1800,3,2,False,False,102,flat,1,0,0,0,0,0,0,0,0
2300,2,2,True,False,150,flat,1,0,0,0,0,0,0,0,0
950,4,1,True,False,90,flat,0,0,0,0,0,0,0,1,0
842,3,1,True,False,68,flat,0,0,1,0,0,0,0,0,0
1350,3,3,True,False,84,flat,0,0,0,0,0,0,0,0,1
900,2,1,True,False,60,flat,0,0,0,0,0,0,0,0,1
1165,4,2,True,False,106,flat,0,0,1,0,0,0,0,0,0
1050,2,1,True,False,70,flat,0,0,0,1,0,0,0,0,0
2500,4,2,True,False,161,flat,0,0,0,0,0,0,0,0,1
1335,2,1,True,False,55,flat,0,0,0,0,0,0,1,0,0
900,1,1,True,False,45,flat,1,0,0,0,0,0,0,0,0
1180,3,1,True,True,79,flat,1,0,0,0,0,0,0,0,0
900,3,1,True,False,65,flat,0,0,0,1,0,0,0,0,0
1200,4,2,True,False,116,flat,0,0,0,0,0,0,0,0,1
750,1,1,False,False,45,flat,1,0,0,0,0,0,0,0,0
1400,3,2,True,False,93,flat,0,0,0,0,0,0,0,0,1
852,4,1,True,False,75,flat,0,0,0,0,0,0,0,1,0
1250,4,2,True,True,98,flat,1,0,0,0,0,0,0,0,0
750,2,1,False,False,60,flat,0,1,0,0,0,0,0,0,0
1000,1,1,True,False,60,flat,0,0,0,0,0,0,0,0,1
1250,4,2,True,False,121,flat,1,0,0,0,0,0,0,0,0
900,2,1,True,False,78,flat,0,0,0,0,0,0,1,0,0
1600,3,2,True,True,78,attic,0,1,0,0,0,0,0,0,0
1450,4,2,True,False,177,flat,0,0,0,0,0,0,1,0,0
900,2,1,True,False,55,flat,0,0,0,0,0,1,0,0,0
1350,3,2,True,False,76,flat,0,0,0,0,0,0,1,0,0
1246,1,1,True,False,51,flat,1,0,0,0,0,0,0,0,0
850,1,1,False,False,45,flat,0,0,0,0,0,0,0,0,0
750,3,1,True,False,42,flat,0,1,0,0,0,0,0,0,0
1580,3,2,True,True,110,flat,0,0,0,0,0,0,0,0,0
1950,4,2,True,True,158,flat,1,0,0,0,0,0,0,0,0
1350,1,1,True,True,60,attic,0,0,0,0,0,0,0,0,0
1060,4,2,True,False,90,flat,0,0,0,0,0,1,0,0,0
1350,3,2,True,False,104,flat,0,0,0,0,0,0,0,0,1
900,4,1,True,False,80,flat,1,0,0,0,0,0,0,0,0
2700,4,2,True,False,85,flat,0,0,0,0,0,0,0,0,1
1600,2,2,True,False,100,flat,1,0,0,0,0,0,0,0,0
625,2,1,True,False,41,flat,0,0,1,0,0,0,0,0,0
2550,2,2,True,False,137,flat,0,0,0,0,0,0,0,0,0
925,4,2,True,True,101,flat,0,0,0,0,0,0,1,0,0
2200,2,2,True,True,79,attic,0,0,0,0,0,0,1,0,0
2700,3,2,True,False,85,flat,0,0,0,0,0,0,0,0,1
1290,2,1,True,False,70,flat,0,0,0,1,0,0,0,0,0
3000,3,2,False,False,150,apartment,1,0,0,0,0,0,0,0,0
780,2,1,False,False,62,flat,0,0,1,0,0,0,0,0,0
1300,5,3,True,False,130,flat,1,0,0,0,0,0,0,0,0
1053,4,2,True,False,95,flat,0,0,0,0,0,0,1,0,0
1250,1,1,False,False,35,apartment,1,0,0,0,0,0,0,0,0
650,1,1,False,False,55,flat,0,0,0,0,0,0,0,0,0
1500,4,2,True,False,150,flat,1,0,0,0,0,0,0,0,0
1190,4,2,True,False,130,flat,1,0,0,0,0,0,0,0,0
660,2,1,False,False,46,flat,0,0,0,0,0,1,0,0,0
1585,4,2,True,True,123,flat,0,0,0,0,0,0,0,0,1
950,4,1,True,False,79,flat,0,0,0,0,0,1,0,0,0
1850,3,3,True,False,140,flat,0,0,0,0,0,0,0,0,1
1080,3,1,True,False,72,flat,0,0,0,0,0,0,1,0,0
710,1,1,True,False,90,flat,0,0,0,0,0,0,0,1,0
2200,4,2,False,False,90,apartment,0,1,0,0,0,0,0,0,0
1100,1,1,True,False,45,apartment,0,0,0,1,0,0,0,0,0
1700,2,2,True,False,73,flat,0,0,0,0,0,0,1,0,0
590,0,1,False,False,46,flat,0,0,0,0,0,0,0,0,0
770,1,1,False,False,55,flat,0,0,0,0,0,0,0,1,0
700,2,1,False,False,50,flat,0,0,0,0,0,0,0,1,0
2900,4,1,True,False,138,flat,0,0,0,0,0,0,0,0,1
2300,3,1,True,False,113,flat,0,0,0,0,0,0,0,0,1
