price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
750,3,1,True,False,60,flat,Horta- Guinardo
770,2,1,True,False,59,flat,Sant Andreu
1300,1,1,True,True,30,flat,Gràcia
2800,1,1,True,True,70,flat,Ciutat Vella
720,2,1,True,False,44,flat,Sant Andreu
1100,3,2,False,False,118,attic,Horta- Guinardo
1350,3,3,True,False,84,flat,Sarria-Sant Gervasi
900,2,1,True,False,60,flat,Sarria-Sant Gervasi
1165,4,2,True,False,106,flat,Horta- Guinardo
1050,2,1,True,False,70,flat,Les Corts
2500,4,2,True,False,161,flat,Sarria-Sant Gervasi
1335,2,1,True,False,55,flat,Sant Martí
2200,4,2,True,True,175,flat,Eixample
2500,3,2,True,True,145,flat,Sarria-Sant Gervasi
980,2,2,True,False,82,flat,Eixample
1050,2,1,True,False,66,flat,Eixample
1500,4,3,True,False,129,flat,Horta- Guinardo
1350,3,2,True,False,95,flat,Eixample
1080,3,2,True,False,92,flat,Gràcia
2500,3,2,True,False,130,flat,Les Corts
950,3,1,True,False,76,attic,Horta- Guinardo
850,3,2,True,False,80,flat,Sants-Montjuïc
1800,3,2,False,False,102,flat,Eixample
2300,2,2,True,False,150,flat,Eixample
950,4,1,True,False,90,flat,Sants-Montjuïc
842,3,1,True,False,68,flat,Horta- Guinardo
1350,3,3,True,False,84,flat,Sarria-Sant Gervasi
900,2,1,True,False,60,flat,Sarria-Sant Gervasi
1165,4,2,True,False,106,flat,Horta- Guinardo
1050,2,1,True,False,70,flat,Les Corts
2500,4,2,True,False,161,flat,Sarria-Sant Gervasi
1335,2,1,True,False,55,flat,Sant Martí
900,1,1,True,False,45,flat,Eixample
1180,3,1,True,True,79,flat,Eixample
900,3,1,True,False,65,flat,Les Corts
1200,4,2,True,False,116,flat,Sarria-Sant Gervasi
750,1,1,False,False,45,flat,Eixample
1400,3,2,True,False,93,flat,Sarria-Sant Gervasi
852,4,1,True,False,75,flat,Sants-Montjuïc
1250,4,2,True,True,98,flat,Eixample
750,2,1,False,False,60,flat,Gràcia
1000,1,1,True,False,60,flat,Sarria-Sant Gervasi
1250,4,2,True,False,121,flat,Eixample
900,2,1,True,False,78,flat,Sant Martí
1600,3,2,True,True,78,attic,Gràcia
1450,4,2,True,False,177,flat,Sant Martí
900,2,1,True,False,55,flat,Sant Andreu
1350,3,2,True,False,76,flat,Sant Martí
1246,1,1,True,False,51,flat,Eixample
850,1,1,False,False,45,flat,Ciutat Vella
750,3,1,True,False,42,flat,Gràcia
1580,3,2,True,True,110,flat,Ciutat Vella
1950,4,2,True,True,158,flat,Eixample
1350,1,1,True,True,60,attic,Ciutat Vella
1060,4,2,True,False,90,flat,Sant Andreu
1350,3,2,True,False,104,flat,Sarria-Sant Gervasi
900,4,1,True,False,80,flat,Eixample
2700,4,2,True,False,85,flat,Sarria-Sant Gervasi
1600,2,2,True,False,100,flat,Eixample
625,2,1,True,False,41,flat,Horta- Guinardo
2550,2,2,True,False,137,flat,Ciutat Vella
925,4,2,True,True,101,flat,Sant Martí
2200,2,2,True,True,79,attic,Sant Martí
2700,3,2,True,False,85,flat,Sarria-Sant Gervasi
1290,2,1,True,False,70,flat,Les Corts
3000,3,2,False,False,150,apartment,Eixample
780,2,1,False,False,62,flat,Horta- Guinardo
1300,5,3,True,False,130,flat,Eixample
1053,4,2,True,False,95,flat,Sant Martí
1250,1,1,False,False,35,apartment,Eixample
650,1,1,False,False,55,flat,Ciutat Vella
1500,4,2,True,False,150,flat,Eixample
1190,4,2,True,False,130,flat,Eixample
660,2,1,False,False,46,flat,Sant Andreu
1585,4,2,True,True,123,flat,Sarria-Sant Gervasi
950,4,1,True,False,79,flat,Sant Andreu
1850,3,3,True,False,140,flat,Sarria-Sant Gervasi
1080,3,1,True,False,72,flat,Sant Martí
710,1,1,True,False,90,flat,Sants-Montjuïc
2200,4,2,False,False,90,apartment,Gràcia
1100,1,1,True,False,45,apartment,Les Corts
1700,2,2,True,False,73,flat,Sant Martí
590,0,1,False,False,46,flat,Ciutat Vella
770,1,1,False,False,55,flat,Sants-Montjuïc
700,2,1,False,False,50,flat,Sants-Montjuïc
2900,4,1,True,False,138,flat,Sarria-Sant Gervasi
2300,3,1,True,False,113,flat,Sarria-Sant Gervasi
825,2,1,True,False,38,flat,Ciutat Vella
1100,2,1,True,True,76,flat,Ciutat Vella
1000,2,2,True,True,65,flat,Ciutat Vella
850,1,1,True,False,61,flat,Gràcia
850,2,1,True,False,53,flat,Ciutat Vella
900,3,1,True,False,77,flat,Eixample
2000,4,3,True,False,202,flat,Eixample
1100,2,2,True,False,92,flat,Ciutat Vella
850,3,1,True,False,61,flat,Gràcia
2850,3,2,True,False,171,flat,Eixample
2500,3,2,True,False,180,apartment,Eixample
1500,2,2,True,False,60,apartment,Eixample
2057,1,1,True,False,74,apartment,Sant Martí
1800,3,2,False,False,100,apartment,Ciutat Vella
1800,1,1,False,False,90,apartment,Gràcia
1550,3,1,False,False,63,apartment,Sants-Montjuïc
1800,1,1,False,False,55,apartment,Sants-Montjuïc
2400,2,1,False,False,65,apartment,Ciutat Vella
1600,1,1,False,False,48,apartment,Ciutat Vella
976,3,1,False,False,80,apartment,Ciutat Vella
976,3,1,False,False,80,apartment,Ciutat Vella
2021,2,1,False,False,60,apartment,Eixample
1540,2,1,False,False,75,apartment,Eixample
900,2,2,True,False,60,flat,Ciutat Vella
890,1,1,True,False,40,study,Sarria-Sant Gervasi
1500,1,1,True,False,58,apartment,Sant Martí
2300,3,2,True,False,90,apartment,Eixample
1970,2,2,True,False,73,flat,Sant Martí
1210,2,1,True,False,47,flat,Sant Martí
1185,2,1,False,False,47,flat,Sant Martí
