price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price,calculated_price
2800,1.0,1.0,True,True,70.0,flat,Ciutat Vella,40.0,2800.0
2500,4.0,2.0,True,False,161.0,flat,Sarria-Sant Gervasi,15.527950310559008,2500.0000000000005
2500,3.0,2.0,True,True,145.0,flat,Sarria-Sant Gervasi,17.24137931034483,2500.0000000000005
2500,3.0,2.0,True,False,130.0,flat,Les Corts,19.23076923076923,2500.0
2500,4.0,2.0,True,False,161.0,flat,Sarria-Sant Gervasi,15.527950310559008,2500.0000000000005
2700,4.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946,2700.0000000000005
2550,2.0,2.0,True,False,137.0,flat,Ciutat Vella,18.613138686131386,2550.0
2700,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946,2700.0000000000005
3000,3.0,2.0,False,False,150.0,apartment,Eixample,20.0,3000.0
3468,3.0,2.0,False,False,98.0,apartment,Ciutat Vella,35.38775510204081,3467.9999999999995
3300,3.0,1.0,True,False,151.0,flat,Sarria-Sant Gervasi,21.85430463576159,3300.0
2900,4.0,1.0,True,False,138.0,flat,Sarria-Sant Gervasi,21.014492753623188,2900.0
3300,4.0,1.0,True,False,153.0,flat,Sarria-Sant Gervasi,21.5686274509804,3300.0000000000014
2850,3.0,2.0,True,False,171.0,flat,Eixample,16.666666666666668,2850.0
2500,3.0,2.0,True,False,180.0,apartment,Eixample,13.88888888888889,2500.0
3144,2.0,2.0,False,False,62.0,apartment,Eixample,50.70967741935484,3144.0
4000,4.0,4.0,True,False,220.0,flat,Sarria-Sant Gervasi,18.181818181818183,4000.0000000000005
3500,3.0,3.0,True,False,205.0,apartment,Eixample,17.073170731707318,3500.0
2700,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946,2700.0000000000005
2700,7.0,3.0,True,False,250.0,flat,Eixample,10.8,2700.0
2550,2.0,2.0,True,False,123.0,flat,Ciutat Vella,20.73170731707317,2550.0
4000,2.0,2.0,True,False,115.0,apartment,Ciutat Vella,34.78260869565217,4000.0
5250,5.0,3.0,True,True,395.0,attic,Ciutat Vella,13.291139240506327,5249.999999999999
3000,4.0,2.0,False,True,180.0,flat,Ciutat Vella,16.666666666666668,3000.0
2500,3.0,2.0,True,False,139.0,apartment,Ciutat Vella,17.985611510791365,2499.9999999999995
2500,2.0,2.0,True,False,122.0,apartment,Ciutat Vella,20.49180327868853,2500.0000000000005
2700,4.0,2.0,True,True,162.0,apartment,Ciutat Vella,16.666666666666668,2700.0
5720,3.0,2.0,False,False,115.0,flat,Ciutat Vella,49.73913043478261,5720.0
2500,2.0,2.0,True,True,72.0,flat,Gràcia,34.72222222222222,2500.0
3600,3.0,2.0,False,False,193.0,attic,Gràcia,18.65284974093264,3599.9999999999995
